Date,Open,High,Low,Close,Adj Close,Volume
2020-01-02,53.799999,54.799999,52.000000,54.000000,53.775990,60440
2020-01-03,54.000000,54.000000,52.000000,52.599998,52.381794,49900
2020-01-06,52.200001,52.200001,49.200001,50.400002,50.190926,116531
2020-01-07,51.799999,52.200001,51.200001,51.200001,50.987610,20810
2020-01-08,51.200001,51.599998,50.000000,51.000000,50.788437,25062
2020-01-09,51.200001,55.799999,51.200001,55.200001,54.971012,182454
2020-01-10,56.000000,57.000000,54.799999,55.599998,55.369347,106211
2020-01-13,56.799999,59.599998,56.400002,58.799999,58.556072,129893
2020-01-14,59.400002,59.599998,55.799999,57.799999,57.560226,63594
2020-01-15,58.000000,60.000000,55.799999,59.000000,58.755249,116202
2020-01-16,58.799999,62.400002,58.799999,62.000000,61.742802,95095
2020-01-17,62.799999,64.599998,62.799999,64.599998,64.332016,101378
2020-01-20,66.199997,71.400002,65.400002,70.800003,70.506302,346962
2020-01-21,70.800003,74.599998,66.599998,73.599998,73.294678,122327
2020-01-22,75.000000,79.000000,73.800003,79.000000,78.672279,166487
2020-01-23,79.599998,82.000000,72.000000,73.599998,73.294678,343303
2020-01-24,73.800003,78.800003,73.599998,78.199997,77.875603,139368
2020-01-27,77.000000,77.000000,73.000000,75.800003,75.485565,151743
2020-01-28,76.199997,81.599998,76.199997,80.599998,80.265648,183258
2020-01-29,80.199997,87.400002,80.199997,87.400002,87.037430,236055
2020-01-30,88.000000,92.599998,85.199997,87.199997,86.838272,230697
2020-01-31,87.400002,108.000000,87.400002,99.199997,98.788490,459157
2020-02-03,103.000000,109.000000,100.500000,108.000000,107.551979,287891
2020-02-04,108.500000,115.000000,108.000000,114.000000,113.527084,211379
2020-02-05,114.500000,116.500000,101.000000,108.000000,107.551979,301740
2020-02-06,107.500000,110.000000,105.500000,107.500000,107.054054,129967
2020-02-07,104.500000,106.500000,86.000000,87.199997,86.838272,657149
2020-02-10,86.000000,87.000000,76.000000,85.000000,84.647385,362454
2020-02-11,85.800003,93.599998,85.599998,91.599998,91.220009,193723
2020-02-12,93.000000,95.400002,87.000000,88.599998,88.232452,217171
2020-02-13,89.000000,89.000000,83.400002,87.400002,87.037430,132142
2020-02-14,87.000000,89.400002,87.000000,88.199997,87.834122,56592
2020-02-17,88.400002,90.000000,86.199997,90.000000,89.626648,66631
2020-02-18,90.000000,90.000000,87.000000,88.000000,87.634949,72339
2020-02-19,85.599998,96.000000,85.599998,96.000000,95.601761,203067
2020-02-20,96.199997,101.500000,87.400002,97.599998,97.195114,251234
2020-02-21,97.800003,97.800003,93.199997,94.000000,93.610046,111112
2020-02-24,90.599998,90.599998,82.599998,83.599998,83.253197,248885
2020-02-25,84.199997,88.000000,81.400002,85.000000,84.647385,156808
2020-02-26,85.199997,85.199997,76.000000,82.400002,82.058174,208347
2020-02-27,83.199997,83.199997,77.599998,78.599998,78.273933,155834
2020-02-28,70.199997,78.000000,70.000000,76.199997,75.883896,187171
2020-03-02,79.199997,85.800003,78.400002,81.000000,80.663986,162714
2020-03-03,86.199997,88.000000,84.000000,87.400002,87.037430,185960
2020-03-04,87.199997,87.199997,84.000000,85.400002,85.045738,84494
2020-03-05,87.400002,87.400002,80.800003,81.199997,80.863144,92477
2020-03-06,78.199997,79.800003,76.800003,77.000000,76.680580,106990
2020-03-09,68.000000,74.000000,66.400002,70.599998,70.307129,163243
2020-03-10,72.599998,76.800003,71.000000,73.000000,72.697174,130202
2020-03-11,73.199997,75.199997,68.000000,68.000000,67.717918,97182
2020-03-12,61.000000,64.000000,58.400002,58.599998,58.356907,145756
2020-03-13,58.599998,63.599998,53.000000,58.599998,58.356907,202344
2020-03-16,55.799999,57.599998,50.599998,53.599998,53.377651,159262
2020-03-17,56.200001,58.599998,50.599998,53.400002,53.178482,155140
2020-03-18,52.000000,54.599998,51.000000,52.799999,52.580967,65038
2020-03-19,53.200001,53.200001,51.000000,53.200001,52.979309,64218
2020-03-20,55.599998,61.000000,55.599998,57.400002,57.161892,158790
2020-03-23,54.200001,55.000000,52.200001,52.599998,52.381794,124135
2020-03-24,55.400002,56.200001,53.599998,54.599998,54.373501,87355
2020-03-25,57.200001,61.000000,55.799999,56.400002,56.166035,189735
2020-03-26,56.799999,59.799999,54.200001,59.599998,59.352757,103221
2020-03-27,60.200001,64.199997,60.000000,61.599998,61.344460,127230
